open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1577116380000,7568.95240937,7571.94872516,7567.55714621,7569.06315789,0,1577116439999,0,60,0,0,0
1577116440000,7569.03894737,7571.83368421,7568.92842105,7571.51736842,0,1577116499999,0,60,0,0,0
1577116500000,7571.34736842,7575.30315789,7571.26315789,7575.00368421,0,1577116559999,0,60,0,0,0
1577116560000,7575.12684211,7578.50736842,7574.77210526,7578.17631579,0,1577116619999,0,60,0,0,0
1577116620000,7578.00631579,7578.09894737,7575.68842105,7578.09894737,0,1577116679999,0,60,0,0,0
1577116680000,7578.26526316,7581.58526316,7577.69157895,7581.58526316,0,1577116739999,0,60,0,0,0
1577116740000,7581.90578947,7590.64510816,7581.43736842,7584.66089763,0,1577116799999,0,60,0,0,0
1577116800000,7585.11405553,7585.35458184,7573.97736842,7573.97736842,0,1577116859999,0,60,0,0,0
1577116860000,7573.86789474,7574.66263158,7571.36281418,7573.10755102,0,1577116919999,0,60,0,0,0
1577116920000,7572.56965629,7579.37807734,7572.52386681,7573.60281418,0,1577116979999,0,60,0,0,0
1577116980000,7573.28228787,7579.16018260,7571.91123523,7579.14965629,0,1577117039999,0,60,0,0,0
1577117040000,7579.34228787,7581.33912997,7575.23176155,7581.11281418,0,1577117099999,0,60,0,0,0
1577117100000,7582.10123523,7584.85965629,7578.26664545,7579.99559281,0,1577117159999,0,60,0,0,0
1577117160000,7580.25454018,7601.62633864,7580.23875071,7601.62633864,0,1577117219999,0,60,0,0,0
1577117220000,7602.17423337,7634.38038684,7595.98633864,7631.46986052,0,1577117279999,0,60,0,0,0
1577117280000,7633.30459736,7633.30459736,7613.37724369,7616.46882263,0,1577117339999,0,60,0,0,0
1577117340000,7618.83092790,7627.41639626,7616.87777000,7627.41639626,0,1577117399999,0,60,0,0,0
1577117400000,7627.28534363,7637.65416596,7620.61165942,7637.65416596,0,1577117459999,0,60,0,0,0
1577117460000,7638.75153438,7673.23904686,7638.75153438,7668.38667080,0,1577117519999,0,60,0,0,0
1577117520000,7672.46088132,7673.43267418,7656.80320050,7669.55372681,0,1577117579999,0,60,0,0,0
1577117580000,7670.51635839,7685.46449919,7670.51635839,7681.96093026,0,1577117639999,0,60,0,0,0
1577117640000,7680.30356184,7688.24093026,7677.06250920,7688.05972324,0,1577117699999,0,60,0,0,0
1577117700000,7687.17340745,7687.17340745,7661.01463028,7661.01463028,0,1577117759999,0,60,0,0,0
1577117760000,7658.65041975,7667.36173036,7656.80594088,7664.93436194,0,1577117819999,0,60,0,0,0
1577117820000,7664.98120404,7666.15488825,7659.72776864,7661.61276864,0,1577117879999,0,60,0,0,0
1577117880000,7661.73958683,7671.35095046,7660.22276864,7671.35095046,0,1577117939999,0,60,0,0,0
1577117940000,7672.14276864,7678.79367774,7622.18776557,7634.10502110,0,1577117999999,0,60,0,0,0
1577118000000,7635.28956656,7635.28956656,7591.46274354,7597.44121377,0,1577118059999,0,60,0,0,0
1577118060000,7598.58712286,7631.42863636,7598.58712286,7624.29739392,0,1577118119999,0,60,0,0,0
1577118120000,7622.59739392,7630.38057574,7619.29421210,7624.68130563,0,1577118179999,0,60,0,0,0
1577118180000,7624.53948745,7624.97585109,7616.97312381,7617.86630563,0,1577118239999,0,60,0,0,0
1577118240000,7617.18630563,7622.33449437,7617.05085800,7619.81903982,0,1577118299999,0,60,0,0,0
1577118300000,7619.46494891,7619.64767618,7606.41040346,7608.18131255,0,1577118359999,0,60,0,0,0
1577118360000,7608.55403982,7610.20722164,7590.13924859,7591.96333950,0,1577118419999,0,60,0,0,0
1577118420000,7592.88243041,7594.27379404,7586.20561223,7587.57833950,0,1577118479999,0,60,0,0,0
1577118480000,7587.49243041,7599.56273676,7583.30864585,7598.91910040,0,1577118539999,0,60,0,0,0
1577118540000,7599.12228221,7611.29546403,7598.74046403,7609.00137312,0,1577118599999,0,60,0,0,0
1577118600000,7607.63182767,7609.62273676,7594.45364585,7596.37182767,0,1577118659999,0,60,0,0,0
1577118660000,7595.36955494,7598.72773676,7590.34351716,7590.34351716,0,1577118719999,0,60,0,0,0
1577118720000,7590.12760807,7596.87760807,7586.19988080,7590.15491325,0,1577118779999,0,60,0,0,0
1577118780000,7590.89718598,7591.75945871,7581.30810221,7581.57128403,0,1577118839999,0,60,0,0,0
1577118840000,7582.25673858,7582.25673858,7545.14929854,7551.50782602,0,1577118899999,0,60,0,0,0
1577118900000,7554.63918966,7563.80045309,7550.16691693,7554.87817942,0,1577118959999,0,60,0,0,0
1577118960000,7553.50227033,7557.73227033,7542.22272488,7544.44999760,0,1577119019999,0,60,0,0,0
1577119020000,7541.61545215,7544.75272488,7521.79454306,7536.70418588,0,1577119079999,0,60,0,0,0
1577119080000,7537.73327679,7548.80691315,7537.57327679,7547.28964043,0,1577119139999,0,60,0,0,0
1577119140000,7546.82191315,7546.82191315,7540.32873134,7542.23100406,0,1577119199999,0,60,0,0,0
1577119200000,7542.86464043,7543.47691315,7531.66009497,7538.62827679,0,1577119259999,0,60,0,0,0
1577119260000,7538.86554952,7540.46373134,7534.84373134,7535.39873134,0,1577119319999,0,60,0,0,0
1577119320000,7536.18418588,7548.61702363,7536.02509497,7548.27656909,0,1577119379999,0,60,0,0,0
1577119380000,7547.79929636,7561.44884181,7547.79929636,7559.74551801,0,1577119439999,0,60,0,0,0
1577119440000,7559.50279074,7564.53415438,7553.22279074,7556.90733619,0,1577119499999,0,60,0,0,0
1577119500000,7557.18233619,7557.18233619,7554.73688165,7556.82142710,0,1577119559999,0,60,0,0,0
1577119560000,7556.88915438,7562.28051801,7556.85733619,7560.79324528,0,1577119619999,0,60,0,0,0
1577119620000,7561.01506347,7562.47266351,7553.23629988,7553.57811806,0,1577119679999,0,60,0,0,0
1577119680000,7553.63857260,7554.41448169,7547.97766351,7548.16857260,0,1577119739999,0,60,0,0,0
1577119740000,7547.67993624,7550.82175442,7540.51716894,7541.56625985,0,1577119799999,0,60,0,0,0
1577119800000,7540.54944167,7544.02398712,7540.19944167,7541.79353258,0,1577119859999,0,60,0,0,0
1577119860000,7541.71171440,7549.96989621,7540.65762349,7548.52898712,0,1577119919999,0,60,0,0,0
1577119920000,7548.44989621,7550.25035076,7547.59353258,7549.80762349,0,1577119979999,0,60,0,0,0
1577119980000,7549.80898712,7550.83035076,7531.33580531,7534.79671440,0,1577120039999,0,60,0,0,0
1577120040000,7534.05125985,7537.94353258,7521.09171440,7529.11205000,0,1577120099999,0,60,0,0,0
1577120100000,7527.91159545,7532.86977727,7522.40432273,7529.74386818,0,1577120159999,0,60,0,0,0
1577120160000,7529.39068636,7535.76886818,7529.39068636,7534.49932273,0,1577120219999,0,60,0,0,0
1577120220000,7536.58886818,7540.07477727,7526.17659545,7529.10614091,0,1577120279999,0,60,0,0,0
1577120280000,7529.30977727,7531.08977727,7522.42341364,7523.82614091,0,1577120339999,0,60,0,0,0
1577120340000,7523.82023182,7530.44999706,7523.79295909,7525.88454252,0,1577120399999,0,60,0,0,0
1577120400000,7524.04636070,7524.63226979,7517.07681524,7522.54199525,0,1577120459999,0,60,0,0,0
1577120460000,7522.36881343,7540.51835889,7521.54699525,7536.80608616,0,1577120519999,0,60,0,0,0
1577120520000,7537.93426798,7547.80988380,7537.02063161,7544.48215652,0,1577120579999,0,60,0,0,0
1577120580000,7544.57306561,7552.45954545,7544.49352016,7547.28136364,0,1577120639999,0,60,0,0,0
1577120640000,7546.80181818,7548.84772727,7545.45681818,7548.63181818,0,1577120699999,0,60,0,0,0
